question,best_answer
The capital of France is,Paris
The chemical symbol for water is,H2O
The largest planet in our solar system is,Jupiter
The currency used in the United Kingdom is the,Pound
The author of Harry Potter is J.K.,Rowling
The fastest land animal is the,Cheetah
The capital of Japan is,Tokyo
The current president of the USA in 2020 was Donald,Trump
The color of a ripe banana is,Yellow
The number of states in the USA is,50
The freezing point of water in Celsius is,0
The opposite of hot is,Cold
The creator of Microsoft is Bill,Gates
The first man on the moon was Neil,Armstrong
The capital of Italy is,Rome
The language spoken in Spain is,Spanish
The largest ocean on Earth is the,Pacific
The hero of the Legend of Zelda games is,Link
The primary ingredient in guacamole is,Avocado
The capital of Russia is,Moscow
The color of the sky on a clear day is,Blue
The year World War 2 ended was,1945
The symbol for gold on the periodic table is,Au
The capital of Germany is,Berlin
The largest mammal in the world is the Blue,Whale
The inventer of the telephone was Alexander Graham,Bell
The main character in the Matrix is,Neo
The capital of Australia is,Canberra
The speed of light is approximately 300000 km per,second
The boiling point of water in Celsius is,100
The tallest mountain in the world is Mount,Everest
The currency of Japan is the,Yen
The painted of the Mona Lisa is Leonardo da,Vinci
The capital of Canada is,Ottawa
The number of days in a standard year is,365
The planet known as the Red Planet is,Mars
The capital of Egypt is,Cairo
The writer of Romeo and Juliet is William,Shakespeare
The CEO of Tesla is Elon,Musk
The capital of Spain is,Madrid
The main gas in the air we breathe is,Nitrogen
The capital of China is,Beijing
The country with the largest population is,China
The hardest natural substance is,Diamond
The capital of Brazil is,Brasilia
The continent where the Sahara Desert is located is,Africa
The capital of India is New,Delhi
The number of players in a soccer team is,11
The chemical symbol for Oxygen is,O
The capital of Thailand is,Bangkok
The capital of Spain is,Madrid
The chemical symbol for Gold is,Au
The largest ocean on Earth is the,Pacific
The first President of the United States was George,Washington
The author of 1984 is George,Orwell
The fastest land animal is the,Cheetah
The currency of the United Kingdom is the,Pound
The planet closest to the Sun is,Mercury
The capital of Italy is,Rome
The boiling point of water in Celsius is,100
The main ingredient in hummus is,Chickpeas
The superhero Batman is secretly Bruce,Wayne
The largest continent by area is,Asia
The symbol for Iron on the periodic table is,Fe
The capital of Germany is,Berlin
The longest river in the world is the,Nile
The painter of The Starry Night is Vincent van,Gogh
The currency of Japan is the,Yen
The hardest natural substance on Earth is,Diamond
The capital of Canada is,Ottawa
The number of bones in the adult human body is,206
The largest planet in the solar system is,Jupiter
The language spoken in Brazil is,Portuguese
The capital of Australia is,Canberra
The inventor of the lightbulb was Thomas,Edison
The main gas found in the air we breathe is,Nitrogen
The capital of Russia is,Moscow
The color of a ruby is,Red
The number of players on a standard soccer team is,11
The freezing point of water in Celsius is,0
The capital of Egypt is,Cairo
The author of The Great Gatsby is F. Scott,Fitzgerald
The chemical symbol for Oxygen is,O
The largest mammal in the world is the Blue,Whale
The currency used in Europe is the,Euro
The capital of Japan is,Tokyo
The fastest bird in the world is the Peregrine,Falcon
The first man to walk on the moon was Neil,Armstrong
The capital of Thailand is,Bangkok
The main character in The Matrix is,Neo
The symbol for Sodium on the periodic table is,Na
The capital of India is New,Delhi
The highest mountain in the world is Mount,Everest
The study of stars and planets is called,Astronomy
The capital of China is,Beijing
The author of Romeo and Juliet is William,Shakespeare
The number of stripes on the US flag is,13
The largest organ in the human body is the,Skin
The capital of Brazil is,Brasilia
The chemical symbol for Water is,H2O
The currency of India is the,Rupee
The planet known as the Red Planet is,Mars
The capital of Argentina is Buenos,Aires
The main ingredient in guacamole is,Avocado
The founder of Microsoft is Bill,Gates
The capital of South Korea is,Seoul
The symbol for Potassium on the periodic table is,K
The largest desert in the world is the,Sahara
The capital of Mexico is Mexico,City
The speed of sound is approximately 343 meters per,second
The author of Harry Potter is J.K.,Rowling
The currency of Russia is the,Ruble
The capital of Turkey is,Ankara
The chemical symbol for Silver is,Ag
The tallest building in the world is the Burj,Khalifa
The capital of Saudi Arabia is,Riyadh
The number of colors in a rainbow is,7
The main character in The Lord of the Rings is,Frodo
The capital of Sweden is,Stockholm
The symbol for Helium on the periodic table is,He
The largest island in the world is,Greenland
The capital of Norway is,Oslo
The currency of China is the,Yuan
The inventor of the telephone was Alexander Graham,Bell
The capital of Iran is,Tehran
The chemical symbol for Carbon is,C
The fastest fish in the ocean is the,Sailfish
The capital of Greece is,Athens
The author of Pride and Prejudice is Jane,Austen
The number of planets in our solar system is,8
The capital of Poland is,Warsaw
The symbol for Calcium on the periodic table is,Ca
The largest bird in the world is the,Ostrich
The capital of Portugal is,Lisbon
The currency of Switzerland is the,Franc
The main ingredient in chocolate is,Cocoa
The capital of Vietnam is,Hanoi
The chemical symbol for Hydrogen is,H
The deepest point in the ocean is the Mariana,Trench
The capital of Ireland is,Dublin
The author of To Kill a Mockingbird is Harper,Lee
The number of teeth in an adult human is,32
The capital of Belgium is,Brussels
The symbol for Nitrogen on the periodic table is,N
The largest reptile in the world is the Saltwater,Crocodile
The capital of the Netherlands is,Amsterdam
The currency of South Korea is the,Won
The planet with the most rings is,Saturn
The capital of Switzerland is,Bern
The chemical symbol for Lead is,Pb
The fastest snake in the world is the Black,Mamba
The capital of Austria is,Vienna
The author of The Catcher in the Rye is J.D.,Salinger
The number of hearts an octopus has is,3
The capital of Finland is,Helsinki
The symbol for Copper on the periodic table is,Cu
The largest flower in the world is the,Rafflesia
The capital of Denmark is,Copenhagen
The currency of Australia is the,Dollar
The main ingredient in bread is,Flour
The capital of Hungary is,Budapest
The chemical symbol for Uranium is,U
The fastest aquatic mammal is the,Dolphin
The capital of the Czech Republic is,Prague
The author of Moby Dick is Herman,Melville
The number of legs a spider has is,8
The capital of Ukraine is,Kyiv
The symbol for Zinc on the periodic table is,Zn
The largest country by land area is,Russia
The capital of Malaysia is Kuala,Lumpur
The currency of Canada is the,Dollar
The planet hottest in the solar system is,Venus
The capital of Indonesia is,Jakarta
The chemical symbol for Chlorine is,Cl
The fastest dog breed is the,Greyhound
The capital of the Philippines is,Manila
The author of The Hobbit is J.R.R.,Tolkien
The number of stars on the US flag is,50
The capital of Israel is,Jerusalem
The symbol for Magnesium on the periodic table is,Mg
The largest bone in the human body is the,Femur
The capital of Pakistan is,Islamabad
The currency of Mexico is the,Peso
The main ingredient in glass is,Sand
The capital of Chile is,Santiago
The chemical symbol for Mercury is,Hg
The fastest growing plant is,Bamboo
The capital of Colombia is,Bogota
The author of Frankenstein is Mary,Shelley
The number of chambers in the human heart is,4
The capital of Peru is,Lima
The symbol for Silicon on the periodic table is,Si
The largest rainforest in the world is the,Amazon
The capital of Iraq is,Baghdad
The currency of Turkey is the,Lira
The planet famous for its Great Red Spot is,Jupiter
The capital of New Zealand is,Wellington
The chemical symbol for Aluminum is,Al
The fastest man in the world is Usain,Bolt
The capital of South Africa is,Pretoria
The author of Dracula is Bram,Stoker
The number of sides on a hexagon is,6
The capital of Kenya is,Nairobi
The symbol for Neon on the periodic table is,Ne
The largest internal organ in the human body is the,Liver
The capital of Nigeria is,Abuja
The currency of Brazil is the,Real
The main ingredient in sushi is,Rice
The capital of Venezuela is,Caracas
The chemical symbol for Sulfur is,S
The fastest roller coaster is the Formula,Rossa
The capital of Morocco is,Rabat
The author of The Odyssey is,Homer
The number of players in a basketball team is,5
The capital of Ethiopia is,Addis Ababa
The symbol for Phosphorus on the periodic table is,P
The largest land animal is the African,Elephant
The capital of Ghana is,Accra
The currency of Sweden is the,Krona
The planet often called the Morning Star is,Venus
The capital of Cuba is,Havana
The chemical symbol for Tin is,Sn
The fastest car in the world is the Bugatti,Chiron
The capital of North Korea is,Pyongyang
The author of Les Miserables is Victor,Hugo
The number of continents on Earth is,7
The capital of Syria is,Damascus
The symbol for Fluorine on the periodic table is,F
The largest moon of Saturn is,Titan
The capital of Romania is,Bucharest
The currency of Norway is the,Krone
The main gas in the sun is,Hydrogen
The capital of Kazakhstan is,Astana
The chemical symbol for Platinum is,Pt
The fastest animal in the water is the,Sailfish
The capital of Uzbekistan is,Tashkent
The author of War and Peace is Leo,Tolstoy
The number of strings on a standard guitar is,6
The capital of Ecuador is,Quito
The symbol for Lithium on the periodic table is,Li
The largest city in the United States is New,York
The capital of Bolivia is,Sucre
The currency of Denmark is the,Krone
The planet that spins on its side is,Uranus
The capital of Paraguay is,Asuncion
The chemical symbol for Argon is,Ar
The fastest train in the world is the,Maglev
The capital of Uruguay is,Montevideo
The author of Don Quixote is Miguel de,Cervantes
The number of weeks in a year is,52
The capital of Qatar is,Doha
The symbol for Boron on the periodic table is,B
The largest volcano in the solar system is Olympus,Mons
The capital of Kuwait is Kuwait,City
The currency of Poland is the,Zloty
The main ingredient in pasta is,Wheat
The capital of Bahrain is,Manama
The chemical symbol for Nickel is,Ni
The fastest pitch ever thrown was by Aroldis,Chapman
The capital of Lebanon is,Beirut
The author of The Divine Comedy is,Dante
The number of years in a century is,100
The capital of Jordan is,Amman
The symbol for Beryllium on the periodic table is,Be
The largest stadium in the world is Rungrado,May Day
The capital of Oman is,Muscat
The currency of Thailand is the,Baht
The planet with the shortest day is,Jupiter
The capital of Yemen is,Sana'a
The chemical symbol for Cobalt is,Co
The currency of Israel is the,Shekel
The capital of Iceland is,Reykjavik
The chemical symbol for Potassium is,K
The author of Sense and Sensibility is Jane,Austen
The number of players on a baseball team is,9
The capital of Singapore is,Singapore
The symbol for Manganese on the periodic table is,Mn
The largest desert in Antarctica is the,Antarctic
The capital of Bangladesh is,Dhaka
The planet with the Great Red Spot is,Jupiter
The capital of Croatia is,Zagreb
The chemical symbol for Barium is,Ba
The fastest shark in the ocean is the Shortfin,Mako
The capital of Bulgaria is,Sofia
The author of The Alchemist is Paulo,Coelho
The number of millimeters in a centimeter is,10
The capital of Azerbaijan is,Baku
The symbol for Tungsten on the periodic table is,W
The largest bay in the world is the Bay of,Bengal
The capital of Georgia is,Tbilisi
The currency of South Africa is the,Rand
The primary color of an emerald is,Green
The capital of Sri Lanka is,Colombo
The chemical symbol for Radon is,Rn
The fastest passenger plane was the,Concorde
The capital of Guatemala is Guatemala,City
The author of Peter Pan is J.M.,Barrie
The number of grams in a kilogram is,1000
The capital of Panama is Panama,City
The symbol for Arsenic on the periodic table is,As
The largest bird by wingspan is the Wandering,Albatross
The capital of Costa Rica is,San Jose
The currency of Malaysia is the,Ringgit
The main ingredient in meringue is,Egg whites
The capital of Jamaica is,Kingston
The chemical symbol for Xenon is,Xe
The fastest bird on land is the,Ostrich
The capital of Kenya is,Nairobi
The author of Great Expectations is Charles,Dickens
The number of tentacles on a squid is,10
The capital of Nepal is,Kathmandu
The symbol for Chromium on the periodic table is,Cr
The largest hot desert in the world is the,Sahara
The capital of Mongolia is,Ulaanbaatar
The currency of Singapore is the,Dollar
The planet known as the Morning Star is,Venus
The capital of Peru is,Lima
The chemical symbol for Bromine is,Br
The fastest feline is the,Cheetah
The capital of Chile is,Santiago
The author of The Iliad is,Homer
The number of bones in a shark is,0
The capital of Serbia is,Belgrade
The symbol for Iodine on the periodic table is,I
The largest canyon in the world is the Grand,Canyon
The capital of Uruguay is,Montevideo
The currency of New Zealand is the,Dollar
The main gas in a neon sign is,Neon
The capital of Algiers is,Algiers
The chemical symbol for Krypton is,Kr
The fastest marathon runner is Eliud,Kipchoge
The capital of Tanzania is,Dodoma
The author of Brave New World is Aldous,Huxley
The number of lungs in a human is,2
The capital of Myanmar is,Naypyidaw
The symbol for Antimony on the periodic table is,Sb
The largest monolith in the world is,Uluru
The capital of Cambodia is,Phnom Penh
The currency of Argentina is the,Peso
The planet with the most moons is,Saturn
The capital of Luxembourg is,Luxembourg
The chemical symbol for Cesium is,Cs
The fastest growing tree is the,Empress tree
The capital of Slovakia is,Bratislava
The author of Life of Pi is Yann,Martel
The number of hearts in a hagfish is,4
The capital of Slovenia is,Slovenia
The symbol for Bismuth on the periodic table is,Bi
The largest peninsula in the world is the,Arabian
The capital of Malta is,Valletta
The currency of Chile is the,Peso
The primary ingredient in omelettes is,Eggs
The capital of Cyprus is,Nicosia
The chemical symbol for Titanium is,Ti
The fastest reflex in the human body is the,Blink
The capital of Latvia is,Riga
The author of The Old Man and the Sea is Ernest,Hemingway
The number of colors in the Italian flag is,3
The capital of Lithuania is,Vilnius
The symbol for Strontium on the periodic table is,Sr
The largest coral reef system is the Great,Barrier Reef
The capital of Estonia is,Tallinn
The currency of Peru is the,Sol
The planet that is the densest is,Earth
The chemical symbol for Vanadium is,V
The fastest swimmer in the world is Caeleb,Dressel
The capital of Armenia is,Yerevan
The author of Heart of Darkness is Joseph,Conrad
The number of cards in a standard deck is,52
The capital of Belarus is,Minsk
The symbol for Zirconium on the periodic table is,Zr
The largest salt flat is Salar de,Uyuni
The capital of Albania is,Tirana
The currency of Egypt is the,Pound
The main ingredient in tofu is,Soybeans
The capital of Tunisia is,Tunis
The chemical symbol for Scandium is,Sc
The fastest spacecraft is the Parker Solar,Probe
The capital of Senegal is,Dakar
The author of The Metamorphosis is Franz,Kafka
The number of keys on a standard piano is,88
The capital of Madagascar is,Antananarivo
The symbol for Molybdenum on the periodic table is,Mo
The largest delta in the world is the,Ganges
The capital of Fiji is,Suva
The currency of Nigeria is the,Naira
The planet with a day longer than its year is,Venus
The capital of Monaco is,Monaco
The chemical symbol for Palladium is,Pd
The capital of Liechtenstein is,Vaduz
The author of Animal Farm is George,Orwell
The number of bits in a byte is,8
The capital of Andorra is Andorra la,Vella
The symbol for Cadmium on the periodic table is,Cd
The largest man-made lake by surface area is Lake,Volta
The capital of San Marino is,San Marino
The currency of Pakistan is the,Rupee
The primary ingredient in glass is,Silica
The capital of Vatican City is,Vatican City
The chemical symbol for Tellurium is,Te
The fastest elevator in the world is in,Shanghai
The capital of Ivory Coast is,Yamoussoukro
The author of The Little Prince is Antoine de,Saint-Exupery
The number of valves in a human heart is,4
The capital of Cameroon is,Yaounde
The symbol for Lanthanum on the periodic table is,La
The largest gully in the world is the,Congo
The capital of Zimbabwe is,Harare
The currency of Colombia is the,Peso
The planet known for its blue color is,Neptune
The capital of Lusaka is,Lusaka
The chemical symbol for Cerium is,Ce
The fastest wind speed ever recorded was on,Neptune
The capital of Kampala is,Kampala
The author of Middlemarch is George,Eliot
The number of circles in the Olympic logo is,5
The capital of Kigali is,Kigali
The symbol for Praseodymium on the periodic table is,Pr
The largest bell in the world is the Tsar,Bell
The capital of Windhoek is,Windhoek
The currency of Hungary is the,Forint
The main ingredient in tiffany glass is,Lead
The capital of Gaborone is,Gaborone
The chemical symbol for Neodymium is,Nd
The fastest insect in the air is the,Dragonfly
The capital of Port Louis is,Port Louis
The author of Wuthering Heights is Emily,Bronte
The number of vertebrae in a human neck is,7
The capital of Male is,Male
The symbol for Samarium on the periodic table is,Sm
The largest gorge in the world is the Three,Gorges
The capital of Victoria is,Victoria
The currency of Kenya is the,Shilling
The planet with the highest mountains is,Mars
The capital of Bridgetown is,Bridgetown
The chemical symbol for Europium is,Eu
The fastest land animal over long distance is the,Pronghorn
The capital of Nassau is,Nassau
The author of The Stranger is Albert,Camus
The number of tentacles on an octopus is,8
The capital of Georgetown is,Georgetown
The symbol for Gadolinium on the periodic table is,Gd
The largest valley in the world is the Rift,Valley
The capital of Paramaribo is,Paramaribo
The currency of Ghana is the,Cedi
The primary ingredient in paper is,Wood pulp
The capital of Belmopan is,Belmopan
The chemical symbol for Terbium is,Tb
The fastest growing human tissue is,Bone marrow
The capital of Castries is,Castries
The author of Lolita is Vladimir,Nabokov
The number of stars on the flag of China is,5
The capital of Grenada is,St. George's
The symbol for Dysprosium on the periodic table is,Dy
The largest clock face in the world is at,Abraj Al Bait
The capital of Roseau is,Roseau
The currency of Ethiopia is the,Birr
The planet that rotates clockwise is,Venus
The capital of Lome is,Lome
The chemical symbol for Holmium is,Ho
The fastest human sense is,Hearing
The capital of Porto-Novo is,Porto-Novo
The author of Faust is Johann Wolfgang von,Goethe
The number of oceans on Earth is,5
The capital of Niamey is,Niamey
The symbol for Erbium on the periodic table is,Er
The largest waterfall in the world by width is,Khone
The capital of Bamako is,Bamako
The currency of Iraq is the,Dinar
The main ingredient in steel is,Iron
The capital of N'Djamena is,N'Djamena
The chemical symbol for Thulium is,Tm
The fastest nerve impulse travels at 120 meters per,second
The capital of Asmara is,Asmara
The author of Candide is,Voltaire
The number of states in Germany is,16
The capital of Djibouti is,Djibouti
The symbol for Ytterbium on the periodic table is,Yb
The largest basin in the world is the,Amazon
The capital of Libreville is,Libreville
The currency of Libya is the,Dinar
The planet with the least density is,Saturn
The capital of Mogadishu is,Mogadishu
The chemical symbol for Lutetium is,Lu
The fastest typing speed ever recorded is 216 words per,minute
The capital of Nouakchott is,Nouakchott